DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I.,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I ,DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,
"BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC, DRG. NO. CA03100 ALT. B ",BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC ,DRG NO CA03100 ,No,,,,,ALT B ,,TYPE 16 ,
"BOGIE BOLSTER ARRANGEMENT FOR AC/NON AC AIR SPRING BOGIE, DRG. NO. CA04100 ALT. b.",BOGIE BOLSTER ARRANGEMENT AC AIR SPRING BOGIE ,DRG NO CA04100 ,No,,,,,ALT b ,,,
"BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C .",BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE ,DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,
DOOR HANDLE DRG. NO.- LW56429. ALT a ,DOOR HANDLE ,DRG NO.- LW56429 ,No,,,,,ALT ,,,
"BOGIE FRAME ARRANGEMENT FOR AIR SPRING TYPE 16T SG WITH BMBC, DRG. NO. CA03100 ALT. b ",BOGIE FRAME ARRANGEMENT FOR AIR SPRING SG WITH BMBC ,DRG NO CA03100 ,No,,,,,ALT b ,,TYPE 16 ,
"BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C .",BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE ,DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,
SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I.,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION PLATE STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I ,DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,
SET OF BRAILLE NOTICES FOR SCN COACHES TO ICF/MD/SPECN-253 ISSUE STATUS 01 REV.00 1 SLEEPER CLASS PLATE-BRAILLE TO DRG.140-8-3-011 COL-I 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG.140-8-3-012 COL-I 3 NUMBER PLATE FOR SEAT and BERTH 1-72 TO DRG.329-6-4-039 COL-VIII 4 NOTICES WITH BRAILLE SCRIPT TO DRG. 329-6-4-038 COL-I.,SET OF BRAILLE NOTICES FOR SCN COACHES ISSUE SLEEPER TO SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO COL-I NUMBER PLATE FOR SEAT TO NOTICES WITH BRAILLE SCRIPT TO COL-I ,DRG.140-8-3-011 ,No,,,,,,REV.00 1 ,TO 253 STATUS 01 COL-I 2 TO .140 TO 8 TO 3 TO 012 COL-I 3 BERTH 1 BERTH 72 TO .329 TO 6 TO 4 TO 039 COL-VIII 4 DRG 329 DRG 6 DRG 4 DRG 038 ,
SAFETY RAIL DRG NO.-LW 61230 ALT- d .,SAFETY RAIL ,DRG NO.-LW 61230 ,No,,,,,ALT- ,,,
"BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C .",BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE ,DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,
CHUTE COMPLETE FOR WASH BASIN OUTLET DRG. NO. G/SD3-693.DRAWING ATTACHED IN DOCUMENT FILE.,CHUTE COMPLETE FOR WASH BASIN OUTLET DRAWING ATTACHED IN DOCUMENT FILE ,DRG NO G/SD3-693.,Yes,,,,,,,,
"LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE.",LOCKING PLATE FOR LHB WHEEL SECURITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE ,DRG NO 1356176 ,Yes,,,,,,,,
OPENING MECHANISM FOR BALL VALVE FOR BIO-TOILET RETENTION TANK GRADE-AISI 316 DRG. NO. MI005986 ALT b OR LATEST.,OPENING MECHANISM BALL VALVE FOR RETENTION ,DRG NO MI005986 ,No,,,,,ALT b OR LATEST ,,GRADE-AISI 316 ,
ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF : 1 SLEEPER CLASSES STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-1 ALT. LATEST 1 SET 2 SEAT LOCTION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-1 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-VIII ALT. LATEST 1 SET 4 NOTICE WITH BRAILLE SCRIPT TO DRG. ICF/SK 3-6-4-038 COL-I ALT LATEST 1 SET.,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,
ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF SPECN ICF/MD/SPECN-253 ISSUE STATUS 01 REV. LATEST CONSISTS OF: 1. AC THREE TIER STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-6 ALT. LATEST 1 SET 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-6 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT and BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-IV ALT. LATEST 1SET 4 NOTICES WITH BRAILLE SCRIPT TO DRG. ICF/SK3-6-4-038 COL-III ALT LATEST 1 SET.,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,
"BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC FOR 13 T AIR SPRING BOGIE, DRG. NO. CA03105 ALT C .",BOGIE FRAME ARRANGEMENT ROLLED SECTION WITH BMBC T AIR SPRING BOGIE ,DRG NO CA03105 ,No,,,,,ALT C ,,FOR 13 ,
"TEE WITH FLANGE 20X20X20   QTY IN NOS   RDSO/SK-96074 ALT 1, MATERIAL STAINLESS STEEL TO IS:6911-1992x04 Cr 19 Ni 9304 SI",TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STEEL SI ,,No,,,,SK-96074 ,ALT 1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 TO 6911 TO 1992 TO 04 Cr 19 Ni 9304 ,
"ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET.",ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,
"TEE WITH FLANGE 20X20X20 QTY IN NOS. RDSO/SK-96074 ALT-1, MATERIAL STAINLESS STTEL TO IS: 6911-1992x04 Cr 19 Ni 9304 SI",TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STTEL TO SI ,,No,,,,SK-96074 ,ALT-1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,
ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE.,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE.,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
COVER SHEET DRAWING NO.- LB10319 ALT NIL. DRAWING COPY ATTACHED IN DOCUMENT FILE,COVER SHEET COVER SHEET DRAWING NO.- LB10319 ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,Yes,,,,,,,NO.- 10319 NO.- 10319 ,
ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE.,ONE COACH SET OF BRAILLE NOTICE FOR WGSCZAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE.,ONE COACH SET OFBRAILLE NOTICE FOR WGFCWAC COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
BRACKETFOR OUTER HEAD STOCK TO DRG NO CG-15032,BRACKETFOR OUTER HEAD STOCK TO ,DRG NO CG-15032 ,No,,,,,,,,
MOUNTING BRACKET FOR INNER HEAD STOCK TO DRG NO CG-15033,MOUNTING BRACKET FOR INNER HEAD STOCK TO ,DRG NO CG-15033 ,No,,,,,,,,
"LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE.",LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE ,DRG NO 1356176 ,Yes,,,,,,,,
ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
DOOR HANDLE DRG. NO.- LW56429. ALT a ,DOOR HANDLE ,DRG NO.- LW56429 ,No,,,,,ALT ,,,
SAFETY RAIL DRG NO.-LW 61230 ALT- d .,SAFETY RAIL ,DRG NO.-LW 61230 ,No,,,,,ALT- ,,,
ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF :1 SLEEPER CLASSES STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-1 ALT. LATEST 1 SET 2 SEAT LOCTION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-1 ALT. LATEST-1 SET 3 NUMBER PLATE FOR SEAT and BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-VIII ALT. LATEST 1 SET 4 NOTICE WITH BRAILLE SCRIPT TO DRG. ICF/SK 3-6-4-038 COL-I ALT LATEST 1 SET.,ONE COACH SET OF BRAILLE NOTICE FOR SCN COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,
ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF SPECN ICF/MD/SPECN-253 ISSUE STATUS 01 REV. LATEST CONSISTS OF: 1. AC THREE TIER STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-6 ALT. LATEST 1 SET 2 SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-6 ALT. LATEST 1 SET 3 NUMBER PLATE FOR SEAT @ BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK 3-6-4-039 CAL-IV ALT. LATEST 1SET 4 NOTICES WITH BRAILLE SCRIPT TO DRG. ICF/SK3-6-4-038 COL-III ALT LATEST 1 SET.,ONE COACH SET OF BRAILLE NOTICE FOR ACCN COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK 3-6-4-039 ,,,,
ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES. FULL DESCRIPTION ATTACHED IN DOCUMENT FILE,ONE COACH SET OF BRAILLE NOTICE FOR SRD COACHES FULL DESCRIPTION ATTACHED IN DOCUMENT FILE ,,No,,,,,,,,
COVER SHEET DRAWING NO.- LB10319 ALT NIL. DRAWING COPY ATTACHED IN DOCUMENT FILE,COVER SHEET COVER SHEET DRAWING NO.- LB10319 ALT NIL DRAWING COPY ATTACHED IN DOCUMENT FILE ,,Yes,,,,,,,NO.- 10319 NO.- 10319 ,
"LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRG. NO. 1356176, DRAWING COPY ATTACHED IN DOCUMENT FILE.",LOCKING PLATE FOR LHB WHEEL AXYORITY PLATE DRAWING COPY ATTACHED IN DOCUMENT FILE ,DRG NO 1356176 ,Yes,,,,,,,,
MAGZINE BAG BROWN DRG. NO. WGSCWAC-6-4-027,MAGZINE BAG BROWN ,DRG NO WGSCWAC-6-4-027 ,No,,,,,,,,
"MUG STAND STAINLESS STEEL , DRG.NO. G/SD 3-460, TEST PIECE REQUIRED ALONG WITH BULK SUPPLY. DRAWING COPY ATTACHED IN DOCUMENT FILE",MUG STAND STAINLESS STEEL TEST PIECE REQUIRED ALONG WITH BULK SUPPLY DRAWING COPY ATTACHED IN DOCUMENT FILE ,DRG.NO G/SD 3-460 ,Yes,,,,,,,,
SAFETY RAIL DRG NO-LW 61230 ALT d,SAFETY RAIL ,DRG NO-LW 61230 ,No,,,,,ALT ,,,
"TEE WITH FLANGE 20X20X20 QTY IN NOS. RDSO/SK-96074 ALT-1, MATERIAL STAINLESS STTEL TO IS: 6911-1992x04 Cr 19 Ni 9304 SI",TEE WITH TEE WITH FLANGE 20X20X20 QTY IN STAINLESS STTEL TO SI ,,No,,,,SK-96074 ,ALT-1 ,,FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 FLANGE 20 IS 6911 IS 1992 IS 04 Cr 19 Ni 9304 ,
"ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-038 COL-VI LATEST EQUAL TO 1 SET.",ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,
Chute Complete for Wash Basin Outlet Drg. No. G/SD3-693,Chute Complete Wash Basin Outlet ,Drg No G/SD3-693 ,No,,,,,,,,
"ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET.",ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,
COVER SHEET DRG. NO. LB10321 ALT. NIL,COVER SHEET ,DRG NO LB10321 ,No,,,,,ALT NIL ,,,
"BRACKET ON U/F FOR MOUNTING DRG NO. CG-15036 ITEM 3,4,5 and 6",BRACKET FOR MOUNTING ,DRG NO CG-15036 ,No,,,,,,,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",
"BRACKET ON U/F FOR MOUNTING DRG NO. CG-15036 ITEM 3,4,5 and 6",BRACKET FOR MOUNTING ,DRG NO CG-15036 ,No,,,,,,,"ITEM 3 ITEM 4 ITEM 5 3,4,5 6 ",
MOUNTING BRACKET FOR OUTER HEAD STOCK TO DRG NO CG-15032,MOUNTING BRACKET FOR OUTER HEAD STOCK TO ,DRG NO CG-15032 ,No,,,,,,,,
"BRACKET ON U/F FOR MOUNTING TO DRG NO. CG-15036, ITEM 3,4,5 AND 6",BRACKET FOR MOUNTING TO ,DRG NO CG-15036 ,No,,,,,,,ITEM 3 ITEM 4 ITEM 5 AND 6 ,
MOUNTING BRACKET FOR INNER HEAD STOCK TO DRG NO. CG-15033,MOUNTING BRACKET FOR INNER HEAD STOCK TO ,DRG NO CG-15033 ,No,,,,,,,,
"MUG STAND STAINLESS STEEL , DRG.NO. G/SD 3-460, DRAWING COPY ATTACHED IN DOCUMENT FILE",MUG STAND STAINLESS STEEL DRAWING COPY ATTACHED IN DOCUMENT FILE ,DRG.NO G/SD 3-460 ,Yes,,,,,,,,
COMPRESSION SPRING SK-722,COMPRESSION SPRING ,,No,,,,SK-722 ,,,,
"ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF SPECN. ICF/MD/SPECN-253 ISSUE STATUS 01 REVISION LATEST CONSISTS OF: 1- FAC CLASS STICKER PLATE WITH BRAILLE SCRIPT TO DRG. ICF/STD-8-3-011 COL-4 ALT LATEST EQUAL TO 1 SET, 2- SEAT LOCATION STICKER PLATE WITH BRAILLE SCRIPT TO DRG. NO. ICF/STD 8-3-012 COL-4 ALT. LATEST EQUAL TO 1 SET, 3-NUMBER PLATE FOR SEAT AND BERTH WITH BRAILLE SCRIPT TO DRG. NO. ICF/SK3-6-039 CAL-XIII ALT-LATEST EQUAL TO 1 SET, 4- NOTICES WITH BRAILLE SCRIPT TO DRG: ICF/SK3-6-4-038 COL-VI LATEST EQUAL TO 1 SET.",ONE COACH SET OF BRAILLE NOTICE FOR FAC COACHES TO ICF ,DRG ICF/STD-8-3-011 ,No,SPECN ICF/MD/SPECN-253 ,,,SK3-6-039 ,,,,
"Outlet Slide Valve as per RCF Drg. no. MI005568, Make- Amit, Vibhu,Aikon.",Outlet Slide Valve per Amit Vibhu Aikon ,Drg MI005568 ,No,,,,,,,,
"Inside Coach No. Display Plate made of Acrylic, size- 5 x 5 , Sample to be approved by consignee before supply, Detail as per Annexure A.",Inside Coach No Display Plate made 5 Sample approved consignee supply Detail per Annexure A ,,No,,,,,,,size- 5 x 5 ,
"A Set of Bi Lingual Vinyl Sticker for Destination board Size- 48 x6 2325 Nos. and Multilingual Vinyl Sticker for Valley Board Size 48 x18 145 No s. Pasting with good adhesive quality on coaches boards , Detail as per Annexure.",A Set Bi Lingual Vinyl Sticker Destination Nos Multilingual Vinyl Sticker Valley Board 48 Pasting good adhesive quality coaches boards Detail per Annexure ,,No,,,,,,,Size- 48 48 6 x6 2325 Size 48 48 18 x18 145 ,
Heavy Duty Elastic wire rope Elastic thread 10 mm dia. containing 80-85 inner threads of dia.0.6 mm each.,Heavy Duty Elastic wire rope Elastic dia inner ,,No,,,,,,,thread 10 containing 80 containing 85 threads .0 threads .6 ,
"Flapper Valve Assembly Asper RCF Drg. no. MI005569, Make- Amit/ Vibhu/Aikon.",Flapper Valve Assembly Asper ,Drg MI005569 ,No,,,,,,,,
"SAB slack adjuster Barrel test Bench, suitable for testing of SAB type DRV2 450/600 Ref, drawing 2KB 6952 Escort limited faridabad and Sketch of coaching maintenance manual- Ref. Stone india ltd. Drg, no.59.91.0201 , Make- Escorts/SAB WABCO/Stone India or similar.",SAB slack adjuster Barrel test Bench suitable testing SAB Ref Escort limited faridabad Sketch coaching Ref Stone India similar ,Drg no.59.91.0201 ,Yes,,,,,,,type 2 DRV2 450 DRV2 600 drawing 2 2KB 6952 ,
Liquid Soap Container 250 ML Transparent Plastic Bottle fitted with Nozzle and Hand Pump with APD Cover Made in 3mm Thick Hard Plastic as per Drawing attached.,Liquid Soap ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Thick Hard Plastic per Drawing attached ,,Yes,,,,,,,Container 250 Made 3 ,
Pillar Drill Machine V Belt driven single spindle with 20 mm drilling capacity. ,Pillar Drill Machine V Belt driven single drilling capacity ,,No,,,,,,,spindle 20 ,
"Bottle jack 30 ton capacity having screw extension up to 100 mm with safety lock nut and pump closed Height :270-285 mm, Hydraulic lift: 150-200 mm, Total extended Height 420-485 mm, RAM dia 75 mm approx, Base size 200x200 mm, body dia 146-160mm.",Bottle ton capacity screw safety lock nut pump closed Hydraulic Total extended Height RAM approx Base body dia ,,No,,,,,,,jack 30 extension 100 Height 270 Height 285 lift 150 lift 200 Height 420 Height 485 dia 75 size 200 size 200 dia 146 dia 160 ,
"Hand Trolley double wheel barrow , As per specification:- Size:36 L x24 W x12 deep at handle x15 deep at opposite end, M.S. sheet body with 2 no s 24 dia T section wheels, made from 40x40x6 mm M.S. T and 2 no s handle made from MS angle and 2 no s M.S. legs made of 35x35x5 mm MS angle.",Hand Trolley double wheel barrow As per deep deep opposite sheet dia section wheels M.S T 2 handle made MS 2 M.S legs made MS angle ,,No,,,,,,,specification 36 L 24 W 12 handle 15 body 2 2 24 made 40 made 40 made 6 T 2 angle 2 made 35 made 35 made 5 ,
"Single Coach Test rig SCTR , As per specification:- Single coach test Rig is to be utilized for testing of twin pipe graduated release air brake coaches with following features:-1. single coach test rig consisting of an automatic brake valve, which has three positons viz. position -1 over charge , position-2 charging and releasing , position-3 full service application , 2. should have reservoir, pressure reducing valves, pressure gauges for measuring brake pipe and feed pipe and feed pipe presure from 0 to 10 kg/cm2, 3.Inlet connection for air supply from air compressor should be provided with two coupling heads one each for brake pipe and feed pipe., 4. three extra pressure gauge of 0 to 10 kg/cm sq. with flexible hose size 3/8 to be provided as standerd accossories to check pressure in AR, BC and CR, 5. Hose assembly of suitable length for brake pipe and feed pipe should be provided with dummy couplings for each to reach the hose coupling of coach. 6. should be mounted on a trolley with provision of two caster wheels and one rest for stabling to enable easy shifting of loacation and fitted with handle for mobility.,Note:- Inspecting authority- RDSO/RITES. , AMC is not Required.",Single Coach Test rig SCTR As per specification Single test Rig utilized testing twin graduated release air brake coaches following single coach test rig consisting automatic brake valve three positons viz charging full service reservoir pressure reducing valves pressure gauges measuring brake pipe feed pipe feed pipe connection air supply air compressor provided two coupling heads one brake pipe feed pipe three extra pressure 0 10 sq flexible hose provided standerd accossories check pressure AR BC Hose assembly suitable length brake pipe feed pipe provided dummy couplings reach hose coupling coach mounted trolley provision two caster wheels one rest stabling enable easy shifting loacation fitted handle . Note AMC Required ,,No,,,,,,,features 1 position 1 charge 2 releasing 3 application 2 presure 0 0 10 10 2 kg/cm2 3 . 4 gauge 0 0 10 size 3 size 8 CR 5 coach 6 ,
Indication bolt S.S./Latch for the single leaf lavatory door of LHB coaches to RCF Drg. no. CC 56437,Indication single leaf lavatory door LHB coaches RCF ,Drg CC 56437 ,No,,,,,,,,
"Flat Head Aluminium Rivet ,Size- 19x5 mm.",Flat Head Aluminium ,,No,,,,,,,Size- 19 Size- 5 ,
"Contactor for SULLAIR Compressor, Tesvs-044216,37 KW, 440 V, 60 HP, IEC/EN 60947-1, Model no. LC 1 D 80, Make- Schneider or equilent, Model of BCH , Siemens, Havels, L and T.",Contactor SULLAIR Model Schneider equilent Model BCH Siemens Havels L T ,,No,,,,,,,Compressor 044216 Compressor 37 KW 440 V 60 IEC/EN 60947 IEC/EN 1 LC 1 D 80 ,
"MV Board CARD , To FTIL part no. 1/600006, Make- FAIVELEY.",MV Board CARD To FTIL FAIVELEY ,,No,,,,,,,part 1 part 600006 ,
"Circuit Board PB03A, KBI Part no.-STN25089 for WSP of LHB Double Decker and Shatabdi coaches, Make- Knooe-Bremse.",Circuit KBI WSP LHB Double Decker Shatabdi ,,No,,,,,,,Board 03 Part 25089 ,
"Speed Sensor G 16, KBI Part no.1135456/20013 for LHB Double Decker and Shatabdi Coaches., Make- Knoor- Bremse.",Speed Sensor KBI LHB Double Decker Shatabdi Bremse ,,No,,,,,,,G 16 Part .1135456 Part 20013 ,
