DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
,,,,,,,,Supporting Device CPL Faiveley part 727102000 LHB CBC use 
,,,,,,,,Head Rest Cover Stitching polyester crush 100 percent polyester size- 17 x5.1/2 x13 Color Light green LHB shatabadi AC chair car 
drg no.3 ,,,,,,,,Isolating cock 1 part 023017000 LHB coaches use Make- Faiveley Knorr Bremse Cock g1-dn 25 e ii 50176/1a1k Escorts KB 4465/2 
,,,,,,,,Brake Cylinder -PBACM 254-130 FTIL Part No.4F-125187 For Hand Brake LHB Power car coaches Make-Faiveley 
,,,,,,,,A Set different Type Contactor Consisting 04 Items suitable Atlas make Compressor use As per Annexure Make- Schneider BCH L T Siemens 
,,,,,,,,Anaerobic Bacteria Inoculums 
Drg 1,,,,,,,,Overhauling Kit Rake Test Rig RTR Feed valve F2 Escort KB 1143 consisting 26 Items per annexure Make- Escorts 
,,,,,,,,Overhauling Kit Single car test rig SCTR Consisting 11 items per Annexure Make- Escorts 
,,,,,,,,Head Rest Cover double decker AC chair car Size- 17 x12 x4 Light green colour Fabric Spec Polyster crushed 100 percent polyster sample approved consignee supply 
Drg.no ICF/SK-6-3-481 ,,,,,,,,Stainless Steel Mug Chain arrangement S.S. Grade 304 Cap.750-1000 ML As per ICF Spec As per Annexure 
,alt black decker ,,,,,,,Hand Drill Machine Model GSB 10 RE Specification- Input power 500w No load speed-0-2600rpm Drilling dia concrete- 10 Drilling dia steel- 8 Drilling dia wood-20 Chuck capacity-1-10 appx weight-1.5 kg Make- bosch dew
,,,,,,,,Set Seal kit Multi stage jack 600 KN MFD Make- Hydraulic Rerailing Equipment OEM part seal kit 20000038 
,,,,,,,,Water Pressurizer Assembly LHB New Design Item code -110035-II Make- AIKON 
,,,,,,,,Set Seal kit Step jack 350 KN MFD make- Hydraulic rerailing equipment OEM Part seal kit 20000042 
,,,,,,,,Sets Seal Kits Telescopic HC jack 1200/600 KN MFD Make- Hydraulic Rerailing Equipment OEM art Seal kit 20000034 
,,,,,,,,Slide Valve Assembly complete Lower New SS box Item code-110017-1 Make- AIKON 
,,,,,,,,Set seal kit Displacing jack 100/60 KN MFD Make- Hydraulic rerailing equipment OEM Part seal kit 20000043 
,,,,,,,,Set seal tilting jack capacity 200 KN MFD Make- Hydraulic rerailing equipment OEM Part seal kit 20000041 
,,,,,,,,Set Seal kit Haulage Device-250 KN MFD make- Hydraulic rerailing equipment OEM Part seal kit 20000382 
,,,,,,,,Set Seal kit Telescopic LC Jack 600/300 KN MFD Make- Hydraulic Rerailing equipment OEM part seal kit 20000052 
Drg no.ST 1423 ,,,,,,,,Angle Brackets top plate S Trap . As per attach Modified Biodigester Use.Firm supply sample along offer 
Drg no.ST 1310 ,,,,,,,,S-Trap Material Grade -SS 304 As per Attach Modified Biodiester Use Firm supply sample along offer 
,,,,,,,,Electric Pneumatic tools As per enclosed detail Annexure A 
,,,,,,,,Exhaust Fan Single Phase 220-240 Volt 50 Hz AC Sweep 450 Watts- 360 Amp 1.7 Class- E 18 /1400 RPM Air Compressure Drier Use . Make- Havels Crompton Marathon 
,,,,,,,,N2 Board To FTIL Part 1/600008 Make- FAIVELEY 
,,,,,,,,Circuit Board PB03A KBI Part no.-STN25089 WSP LHB Double Decker Shatabdi coaches Make- Knooe-Bremse 
,,,,,,,,Circuit Board EBO1B KBI Part No STN25799/01 WSP LHB Double decker Shatabdi Coaches . Make- Knoor -Bremse 
,,,,,,,,DRDO ANAEROBIC BACTERIA INOCULUMS FOR BIO DIGESTERS Supply condition per Specification Annexure A 
,,,,,,,,Speed Sensor G 16 KBI Part no.1135456/20013 LHB Double Decker Shatabdi Coaches . Make- Knoor- Bremse 
,,,,,,,,Glassware Regents COD Fecal Coli Count Test Use As per List attached Annexure 
,,,,,,,,A Set Saloon Sliding Door Spare Parts LHB Double Decker Coaches Consisting 06 items per annexure enclosed Make- Hanspal Mohan Rail JBM 
Drg ICF/SK-6-3-481 ,,,,,,,,Stainless steel Chain Length- 650 02 No S.S. Ring Ends S.S. Grade-304 As per Item 6 7 
,,,,,,,,Set Seal kit Telescopic LC Jack 1200/600 KN MFD Make- Hydraulic Rerailing equipment OEM part seal kit 20000037 
,,,,,,,,Digital Micro Burettes following features Type- Continuous RS Volume micro Liter /Turn-5000 Display Range 0.01 ml 999.9 ml Make- Tarson Burosil Glaxo Digitrat 
Drg No CG-11089 ,,,,,,,,Ball Valve SS 304 Ball LH RH Size- 5 PTFE Seal IR CDIC K503 Bio-Toillet use Each type 10 Nos.Total 20 nos Make- Atam Kartar Accu cast Banka Billoo 
,,,,,,,,Electric Pneumatic tools As per enclosed detail Annexure A 
,,,,,,,,Compression Spring supporting Device AARH Type tight lock coupler LHB coaches part 727807000 Make- Faiveley 
,,,,,SK.465 ,,,Vertical Support Assembly Escorts parts LHB CBC Use 
,,,,,,,,Disposable PP Non Woven Face Towel size- 14.17 Inch x19.68 Inch 30 percent polyster 70 percent viscose The Spunlace Fabric minimum weight density 50 GSM gm/sq.mtr The water holding capacity percentage fabric 1400 Fabric Eco- Friendly Non-Allergic human body laboratory test certificate National standard 
,,,,,SKAN Instruments ,,,Fume Hood Chamber H2SO4 titration Made 19 thick ply board outer covered 0.8 thick mica interior fixed cemented asbestos sheet working platform covered S.S sheet-316 acid resistant sliding slash fiber glass make move vertically concealed balance weight chamber fitted SS 316 wash basin Water tap cock gas supply One flurescent tube light 20 W one 15/5 amp electrical plug fitted top chamber exhaust fumes 2 meter electric cord Make- RESCHOLAR UTS 
,,,item no.3 30 ,,,QTY- 01 ,,A set Laminated Triplex Safety Glass edge round corner per ICF drawing WPC TAC-5-4-005 IS 2553-1990 part-I consisting 02 Items specification per enclosed annexure SET As per detail 1 Smoke colour -size 1165x860x6 mm- No 2 Frosted size- 860x555x5 -item no-6 10 No Total 40 No 
,,,,,,,,S.S.Angel 24 SWG Grade- 304 size- 25x25 Each length 8 feet 
,,,,,SK-711 ,,,SHANK WEAR PLATE FOR CBC PART NO.FOR LHB COACHES Escorts part SK711 Faiveley part D22 8582-103 Make- Escorts Faiveley knoor Bremse 
,,,,,,,,MCCB Atlas air Compressor stabilizer use Specifications CVS-250 B 200 Amp . UI-690 V UIMP-8 KV Ue V -415 ICU KA -25 ICS-100 percent ICU-50/60 Hz.Cat.A 40 C IEC-60947-2 IS/IEC-60947-2 terminal timer 1600 A adjustable Make- Schneider electric Siemens Similar 
,,,,,,,,Hydraulic Bending Machine As per specification 1.0- Machine shouled capable bending pipes following radius different sizes MS seamless mentioned below- S.no . size pipe Max Bending redius min.Bending radius- 1 .NB 10mm 100 75 2 NB 20mm 150 115 3 NB 25 150mm 115 4 NB 32 150 120mm . 2.0 The Machine provided motorized hydraulic system bending including suitable pump motor hyd connections valves switches 7 pressure control devices . 3.0 Machine capable bending pipe required size wall thickness 8 4.0- The machine supply suitable attechment accommodate suitable height 5.0 Safety system provide additional pressure switch cut supply maximum pressure . 5.0 Hydraulic systems spares A- seal kit 01 set B.-Tool kit 01 Set 
,,,,,,,,"M S Strip size,40 width x 1.5 thickness x Length 20 feet "
,,,,,,,,Bath Towel Santino 100 percent Cotton Size 75 x 150 Cm Make- Bombay Dyeing Reymonds Portico Sample Approved consignee 
,,,,,,,,MS Angle Iron Size 27x27x1.6 Length 20 Feet -1 Each Approximate per IS-2062/2011 Amnd 1 
,alt black decker ,,,,,,,Hand Drill Machine Model GSB 10 RE Specification- Input power 500w No load speed-0-2600rpm Drilling dia concrete- 10 Drilling dia steel- 8 Drilling dia wood-20 Chuck capacity-1-10 appx weight-1.5 kg Make- bosch dew
drg No M1005854 ,Alt C DIN 3055,,Item No.-5 ,,,,,Wire cable 8 mm- 7x7 per RCF ss Length- 3000 x2 ISI Mark- Toycon 
,,,,,,,,S S Reducer Grade-304 size-160/100 Maximum dia 160mm Minimum dia.-100mm thickness- 1.5 flat surface length- 127mm Reducing length-2 per Drawing C W/JP/16/02 
,,,,,,,,Gauges Equipments As per annexure A 
,,,,,,Qty-01 ,,Store bins crates As per enclosed details Annexure A SET As per List Make- Nilkamal/supreme/Brite 
Drg JUDW/MECH/14-651 ,,,,,,,,Foot Rest Multi stage arrangement seat LHB shatabdi coaches As per 
,,,,,,,,Soap Dish P.T.M.T cat 195/3006 Make- Prayag similar 
,,,,,,,,Hex.HD Nylock nut M-16 High tensile quality property class 10 prevalling torque type Make- Unbrako TVS LPS 
,,,,,Sketch 81110 ,,,Rake Test Rig As per specification Full rake test rig shall per RDSO RDSO pamphlet no- C-8805 test rig shall capable testing rakes B.G coaches/ wagons twin pipe air brake system scope supply shall consist following items per RDSO sketch showing arrangement A-9 brake valve Check valve cut cocks pressure gauges Relay valve Angle cocks hose assemblies 
,,,,,,,,PVC Washer OD-18 ID-9 Thickness Washer-03 Flexible Pipe BMBC FE Discharge Pipe Use 
,,,,,,,,Flannel Blanket cover Fabric blanket- 100 percent Micropolyster fabric Blanket cover White cambric cotton Size 1.5 Mtr x 2.20 Mtr . Make- Bombay dying Raymonds Portico Sample approved consignee 
drg no.3 ,,,,,,,,Isolating cock 1 part 023017000 LHB coaches use Make- Faiveley Knorr Bremse Cock g1-dn 25 e ii 50176/1a1k Escorts KB 4465/2 
,,,,,,,,Set Of Seal Kit telescopic HC Jack 600/300 KN MFD Make- Hydraulic Rerailing Equipment OEM part no- seal Kit.20000051 
,Alt-2 ,,,,SK-K-3001 ,,,Nickle Polish Hammer Breaking window case Emergency As per RDSO Drawing 
Drg No 3,,,,,,,,Guard Emergency isolating cock adopter One way G 1/2 Similar KBI A81344/KI Part No -139369/KI I.F.2909 Faiveley part 790040330 Make- Knoor-Bremse Faiveley Escorts 
,,,,,Sketch 81110 ,,,Rake Test Rig As per specification Full rake test rig shall per RDSO RDSO pamphlet no- C-8805 test rig shall capable testing rakes B.G coaches/ wagons twin pipe air brake system scope supply shall consist following items per RDSO sketch showing arrangement A-9 brake valve Check valve cut cocks pressure gauges Relay valve Angle cocks hose assemblies 
,,,,,,,,Hand Glove 100 percent NITRILE CE Certified As per specification 1.Model size Flocklined Series GNF 1513 15 Mil 13 L Size 2.Material Specially formulated Nitrile Compound 3.Exterior Cotton Flocklined GNF Series 4.Thickness 0.38 Length-33 cm . 5.Colour Green 6.Cuff Straight 7.Grip Pattern Recessed Diamond 8.Make- DPL Safetywere JT Labor Protection App.co 
,,,,,,,,Battery operated LED lantern-360 rechargeable charging voltage-230 VAC 50 Hz single phase illumination- less 250 lumens backup time -not less 4 hrs light weight battery easily replaceable.Model -- 30947 Make- Philips ujjwal plus similar 
,alt black decker ,,,,,,,Hand Drill Machine Model GSB 10 RE Specification- Input power 500w No load speed-0-2600rpm Drilling dia concrete- 10 Drilling dia steel- 8 Drilling dia wood-20 Chuck capacity-1-10 appx weight-1.5 kg Make- bosch dew
,,,,,,,,MCCB Atlas air Compressor stabilizer use Specifications CVS-250 B 200 Amp . UI-690 V UIMP-8 KV Ue V -415 ICU KA -25 ICS-100 percent ICU-50/60 Hz.Cat.A 40 C IEC-60947-2 IS/IEC-60947-2 terminal timer 1600 A adjustable Make- Schneider electric Siemens Similar 
,,,,,,,,Hex Head Nylock Nut M 16 Prevailing Torque type specification Coarse Thread Din 985 ISO 10511 Grade-10 Duly Mechanical white Zinc plated Make- Unbrako TVS LPS 
,,,,,,,,Liquid Vaporizer Refill bottles 60 Nights Make- All out/Good night/Baygon 
,,,,,,,,Battery operated LED lantern-360 rechargeable charging voltage-230 VAC 50 Hz single phase illumination- less 250 lumens backup time -not less 4 hrs light weight battery easily replaceable.Model -- 30947 Make- Philips ujjwal plus similar 
,,,,,,,,Glassware Regents COD Fecal Coli Count Test Use As per List attached Annexure 
,,,,,,,,S.S Rod 5 dia . 202 Grade Length 12 feet rod 
Drg LD61134 ,,,,,,,,Plastic Knob consisting two parts snack table holding knob button Complete double decker shatabdi train use sample approved consignee supply 
,,,,,,,,Vortex Cyclomixers suitable inchargeable mixing heads Model- CM-101 Remi complete accessories Specification Pwer-60 Shaking movement- Orbital Orbital Dia-4mm Motor type shaded-pole motor Motor Rating input/Output-58/10 W Permissible time-100 percent power 30 mins speed range -0-2500 rpm Run type Continuous/touch operation Dia-127x130x160 Weight-3.5 kg appx Protection class acc To DIN 60529-IP21 Supply-220/240 Volts 50 Hz . Make- Remi Abdos Jaisbo 
drg No M1005854 ,Alt C DIN 3055,,Item No.-5 ,,,,,Wire cable 8 mm- 7x7 per RCF ss Length- 3000 x2 ISI Mark- Toycon 
,,,,,,,,A Set Saloon Sliding Door Spare Parts LHB Double Decker Coaches Consisting 06 items per annexure enclosed Make- Hanspal Mohan Rail JBM 
,,,,,sky- martens closed cup facilities Lab Bio Diesel Testing Detail 1 .,,,Requirement Flesh point test PenPMCC As per IP:34 Energy Regulator Motorised stirrer Geared digital temperature indicator- 01 No 2 Spare Cup Handle- 01 No . 3 Spare Porcelain Base Heating element-01 No . 4 IP Thermometer 0-200 C 01 No . 5 IP Thermometer 0-50 C -01 No 01 SET 
,,,,,,,,Testing Apparatus corrosiveness copper Copper strip corrosion test apparatus Detail 1 Bath 4 6 test digital temp Con H indicator electric Stirrer inner chamber S.S outer M.S Dully powder coated Supplied without accessories -01 No 2 Stainless steel Bomb- 04 No 3 Inspection Glass Tube- 6 No 4 Copper Strips per IP 154 4 No 5 Copper Corrosion Comparator Chart- 1 No 1 SET 
,,,,,,,,Blanket Cover 1st AC passengers- The cloth blanket cover cotton IS745/2003 latest variety no.12 blanket cover stitched cotton thread variety no.12 per IS 1720/1978 latest stitches less 4 nos size 234x152 /- 1 cms Tag size-30x10mm corner stitched blanket cover indicating months year MM/YY manufacturing size letters-5 Two colour printed Blue printed Orange equal quantity Before bulk supply firm produce samples feel/finish approval 
,,,,,,,,Dry Chemical powder type fire extinguisher BC capacity 09 kg compatibility indian std-IS 15683 Make- Safes/ Minimax /Alfa fire 
,,,,,,,,Single Phase 3 HP Electric motor Motor type- AC single phase Squirrel Cage induction motor Output- 3 HP Voltage-220 -10 Volt Frequency-50 Hz 1440 rpm Mounting- Foot Mounting Insulation class- F class Cooling Natural Shaft Mounted fan 
,,,,,,,,Room Freshner spray perfume Lavander Sandle Jasmine Mogra Aqua Floral Make- Premium Ambi pure Air weak Odonil Capacity-125 gm 
,,,,,,,,MCCB Atlas air Compressor stabilizer use Specifications CVS-250 B 200 Amp . UI-690 V UIMP-8 KV Ue V -415 ICU KA -25 ICS-100 percent ICU-50/60 Hz.Cat.A 40 C IEC-60947-2 IS/IEC-60947-2 terminal timer 1600 A adjustable Make- Schneider electric Siemens Similar 
Drg no.ST 1310 ,,,,,,,,S-Trap Material Grade -SS 304 As per Attach Modified Biodiester Use Firm supply sample along offer 
Drg no.ST 1423 ,,,,,,,,Angle Brackets top plate S Trap . As per attach Modified Biodigester Use.Firm supply sample along offer 
,,,,,,,,Hand Towel Santino 100 percent Cotton 1set 02 pcs Size 40x60 Cm Make- Bombay Dyeing Reymonds Portico sample approved consignee 
drg no.3 ,,,,,,,,Isolating cock 1 part 023017000 LHB coaches use Make- Faiveley Knorr Bremse Cock g1-dn 25 e ii 50176/1a1k Escorts KB 4465/2 
,,,,,,,,Procurement mini evacuator per specification Annexure A 
,,,,,,,,Hand Glove 100 percent NITRILE CE Certified As per specification 1.Model size Flocklined Series GNF 1513 15 Mil 13 L Size 2.Material Specially formulated Nitrile Compound 3.Exterior Cotton Flocklined GNF Series 4.Thickness 0.38 Length-33 cm . 5.Colour Green 6.Cuff Straight 7.Grip Pattern Recessed Diamond 8.Make- DPL Safetywere JY Labor Protection App.co 
drg no.3 ,,,,,,,,Isolating cock 1 part 023017000 LHB coaches use Make- Faiveley Knorr Bremse Cock g1-dn 25 e ii 50176/1a1k Escorts KB 4465/2 
,,,,,,,,S.S Rod 5 dia . 202 Grade Length 12 feet rod 
Drg.No Mech/C W/WB HCV 1 ,,,,,sket Teflon Handle forgea IS 1875 ,,,Hydrant Water control valve detachable Key handle 1 BSP 25 As per specification Specification 1 It following features Locking system Internal lock full way opening valve key operated . 2.It consist following parts body I WM350-IS:14329 body2 WM 350-IS:14329 Cover WM 350-IS:14329 Ball SS IS 6911-92 Cr 19 Ni 4 Spindle screw SS IS 6911 92 Cr 19 Ni Special Nut SS IS 6911-92 Cr 19 Ni 4 Lock Nut SS IS:6911 92 CR 19 Ni 4 Locking Plate SS IS:6911-92 Cr 19 Ni 4 GaCI V 
,,,,,,,,Battery operated LED lantern-360 rechargeable charging voltage-230 VAC 50 Hz single phase illumination- less 250 lumens backup time -not less 4 hrs light weight battery easily replaceable.Model -- 30947 Make- Philips ujjwal plus similar 
Drg no.59.91.0201 ,,,,,Sketch coaching maintenance manual- Ref Stone india ltd. Make- Escorts/SAB WABCO/Stone India similar ,,,SAB slack adjuster Barrel test Bench suitable testing SAB type DRV2 450/600 Ref drawing 2KB 6952 Escort limited faridabad 
Drg SSB/BIO/JP/15/01 ,,,,,,,,Universal Operating Paddle bio Toilet As per drawing photo enclosed 
Drg SKETCH K-1054 ,,,,,,,,Flexible Rubber hose 20mm side swivel nut Air spring suspension LHB double decker coaches use.RDSO Make- Escorts Faiveley Knoor-Bremse Gates.SIL 
,,,,,,,,A Set Spare Parts Pantery Car Gas Bhatti Consisting 07 Item per Annexure enclosed 
Drg LW56353 ,,,Item no.23 ,,,,,Linear Motion Bearing Model LK 30-50 similer IKO/NIPPON japan RCF 
,,,,,,,,Liquid Soap Container 250 ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Made 3mm Thick Hard Plastic per Drawing attached 
Drg No ICF/STD-5-6-015 ,ALT g ,,,,,,,Aluminium Ventilation Grill Toilet doors 
Drg C W/JP/16/01 ,,,,,,,,Pad Lock Seal One time lock Model-TS20 Or Similar As per Make- Tetra Tekseal similar 
,,,,,,,,1 .PMCC As per IP:34 Energy Regulator Motorised stirrer Geared digital temperature indicator- 01 No 2 Spare Cup Handle- 01 No . 3 Spare Porcelain Base Heating element-01 No . 4 IP Thermometer 0-200 C 01 No . 5 IP Thermometer 0-50 C -01 No 01 SET 
,,,,,,,,Liquid Soap Container 250 ML Transparent Plastic Bottle fitted Nozzle Hand Pump APD Cover Made 3mm Thick Hard Plastic per Drawing attached 
Drg.No Mech/C W/WB HCV 1 ,,,,,,,,Hydrant Water control valve detachable Key handle 1 BSP 25 As per specification 
,,,,,,,,ISI Marked Dry Chemical Powder fire extinguisher ABC fire use per IS:14609 
,,,,,,,,Procurement Hydraulic lifting platform AC operated per specification Annexure A 
,,,,,,,,Hydraulic Bending Machine As per specification 1.0- Machine shouled capable bending pipes following radius different sizes MS seamless mentioned below- S.no . size pipe Max Bending redius min.Bending radius- 1 .NB 10mm 100 75 2 NB 20mm 150 115 3 NB 25 150mm 115 4 NB 32 150 120mm . 2.0 The Machine provided motorized hydraulic system bending including suitable pump motor hyd connections valves switches 7 pressure control devices . 3.0 Machine capable bending pipe required size wall thickness 6 4.0- The machine supply suitable attechment accommodate suitable height 5.0 Safety system provide additional pressure switch cut supply maximum pressure . 5.0 Hydraulic systems spares A- seal kit 01 set B.-Tool kit 01 Set 
,alt Black Decker ,,,,,,,1/2 Impact pneumatic Wrench spec Screw diameter quality class 8.8 -M16 Max Tightening torque-350 Nm No-load speed 7000 1/Min Direction rotation R-Right L- Left R/L air consumption load 15bzw.31.8 I/s/cfm Weight per EPTA-2.4 kg Bit Holder- 1/2 external square Connecting thread 1/4 NPT hose inner diameter-10 mm . Make- Bosch Dew
,,,,,,,,1 Bath 4 6 test digital temp Con H indicator electric Stirrer inner chamber S.S outer M.S Dully powder coated Supplied without accessories -01 No 2 Stainless steel Bomb- 04 No 3 Inspection Glass Tube- 6 No 4 Copper Strips per IP 154 4 No 5 Copper Corrosion Comparator Chart- 1 No 1 SET 
,,,,,,,,Infrared Thermometer Model MT-4 Features C F Selection Laser Target pointer selection Data hold auto power Back light display Technical data Temp range 0 450 C 32 840 F Accuracy 2.0 percent 2 C distance spot ratio- 12:1 Repeatability 1 percent 1 C Accessories- soft carrying case Manual Make- Raytek Fluke HTC 
,,,,,,,,Single Phase 3 HP Electric motor Motor type- AC single phase Squirrel Cage induction motor Output- 3 HP Voltage-220 -10 Volt Frequency-50 Hz 1440 rpm Mounting- Foot Mounting Insulation class- F class Cooling Natural Shaft Mounted fan 
Drg no.59.91.0201 ,,,,,Sketch coaching maintenance manual- Ref Stone india ltd. Make- Escorts/SAB WABCO/Stone India similar ,,,SAB slack adjuster Barrel test Bench suitable testing SAB type DRV2 450/600 Ref drawing 2KB 6952 Escort limited faridabad 
,,,,,sketch enclosed material approved consignee supply ,,,Single Burner Gas Bhatti stainless steel body size- L 550 W-550 H-670 Fitted burner model C-22 complete fitting per rough 
,,,,,,,,Solenoid Valve Assembly Rotex Part No.200013 Suitable Aikon Make CDTS Use Make-Rotex Aikon Vibhu Darshan Amit 
,,,,,,,,Battery Pack GWS 14.4 2.6 Ah Battery Operated window bar cutter part 2607335685 Make- Bosch Similar 
,,,,,,,,Pneumatic Air Rubber Hose pipe R6 Inside Dia 1/2 Working Pressure 350 400 PSI side criping nut 1/2 BSP Internal Thread Make- Gates Dunlup pix 
,,,,,,,,Euro Clean Vacuum Cleaner 03 nos Extra Extention code Blower effciency-20 lt/sec Appx.Dimensions-450x190x255 LxWxH App . Dust Capacity-3 litre Input Power IEC -1100 watts Appx.Net Weight-6 kg App . Suction motor-2100 mm/wc Voltage-230 V Make-Eureka Forbs LG Samsung 
,,,,,,,,Harpic Hygienic toilet rim block weight 26 gm approximate Shelf life two year fragrance lemon jasmine citrus Make- Reckill Bensckiser jhonshon diversary 
,,,,,,,,CBC Draft Gear Replacement equipment As per Annexure 1 Hydraulic operated lifting table capacity 750 kg . 2 .Platform size 550x1000 plain without sailing boards 3 .Minimum height ground level 450mm 4 Maximum table height ground level 1200 5 Trolley wheel dia 200 mm . 6 Suitable hand operated hydraulic pump operate hydraulic cylinder suitable draw bar 
,,,,,SKAN Instruments ,,,Fume Hood Chamber H2SO4 titration Made 19 thick ply board outer covered 0.8 thick mica interior fixed cemented asbestos sheet working platform covered S.S sheet-316 acid resistant sliding slash fiber glass make move vertically concealed balance weight chamber fitted SS 316 wash basin Water tap cock gas supply One flurescent tube light 20 W one 15/5 amp electrical plug fitted top chamber exhaust fumes 2 meter electric cord Make- RESCHOLAR UTS 
,,,,,,,,Battery Pack GWS 14.4 2.6 Ah Battery Operated window bar cutter part 2607335685 Make- Bosch Similar 
,,,,,,,,Liquid Vaporizer Refill bottles 60 Nights Make- All-out/goodnight/Baygon 
,,,,,,,,Battery Charger suitable charging Lister truck As per specification Rating 30-120 volt 60 Amps . AC Input Voltage 415 Volt -10 percent Frquency 50 HTz -3 percent System 3-4 wire . DC Out Put Out put volt:30-120 put current 60 amps stability set value -2 percent Cooling -Natural Construction machine body Minimum SS plate thickness 1.6 Enclosure chargers cubical location indoor 
Drg No CC 35338 ,alt.b -U clamp 25 ,,,,,Qty-01 2 ,,A Set Different Type U Clamp Consisting Two items per annexure enclosed 1 .U clamp 20 Bore pipe size-12x195mm MS clamp per bore pipe size- 12x208 MS clamp per Drg CC 35326 alt.b Qty-01 No 01 SET 
,,,,,,,,"General Purpose sealent silicon seal,250 ml per pack self life one year date supply Make-MCCOY GP White Similar "
,,,,,,,,Data Retrival Unit software data analysis retrival MRT 918 speedometers Make- Medha similar 
,,,,,,,,A set spare parts Jamalpur jack consisting 03 items specification 1 NHD Contactor 16 Amp Delta starter SP-415 COONN- 01 2 05 Pin plug 30 Amp suitable 05 pin Socket 01 No 3 05 Pin socket 30 amp Suitable 05 pin plug.- 01 01 SET 
DRG.NO.LW56429 ,,,,,,,,LAVATORY DOOR HANDLE AS PER RCF 
,,,,,,,,COD Digestion apparatus 15 reaction vessels 15 air condensers solid block heating unit glass ware 15 Reaction vessels air conditioners Vessel size dia40 volume 160 ml temp 150 C /-1 percent Cap 15 samples time sample size 15/20 ml range 0 500 ppm without dilution display PID display timer 2 hours timer buzzer Dimension 475 mmx295 mmx200 Aprox Power 230 V 50 Hz tube rake spare 15 digestion tube Calibration certificate temperature indicator One year warranty equipment . Make- BTI UTS MACRO Scientific 
